0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14425,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14433,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14490,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14498,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14554,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14562,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14619,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14627,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14684,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14691,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14748,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14756,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14812,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14820,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14877,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14885,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
14941,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,14950,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15006,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15014,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15071,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15079,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15135,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15143,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15200,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15208,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15264,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15272,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15329,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15337,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15393,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15401,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15458,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15466,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15522,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15530,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15587,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15595,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15651,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15659,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15716,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15724,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15780,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15788,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15845,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15853,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15909,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15917,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15974,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15982,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16038,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16047,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16103,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16111,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16168,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16176,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16232,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16240,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16297,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16305,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16361,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16369,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16426,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16434,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16490,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16498,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16555,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16563,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16619,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16627,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16684,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16692,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16749,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16757,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16813,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16821,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16878,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16886,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16942,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,16950,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17007,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17015,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17071,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17079,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17136,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17144,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17200,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17208,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17265,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17273,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17329,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17337,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17394,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17402,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17458,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17466,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17523,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17531,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17587,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17595,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
17652,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,17660,26556,0,0
